Company,Country,City,Website,LinkedIn,Eurosatory profile,Booth,Type,Defense segment,Secondary segments,Builds,Sells,Services,Technologies,Target clients,Markets,Target type,Buying need,Other buying needs,Score,Priority,Ideal seller,Pitch,Sales angle,Next action,Status,Tags,Lists,Confidence
SPINNER,Allemagne,MUNICH,https://www.spinner-group.com/,,,Hall 5b / B174,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
"SPIRIT SLOVENIA, BUSINESS DEVELOPMENT AGENCY",Slovénie,LJUBLJANA,http://www.sloveniabusiness.eu/,,,Hall 6 / J120,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SPIROTEC,France,VALFF,http://www.spirotec.fr/,https://www.linkedin.com/company/spirotec/?viewAsMember=true,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=d7c47357-52f4-47d6-ad49-3ffe986b729c,Hall 6 / E191,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",15.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed SPIROTEC at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
Splast Sp. z.o.o.,Pologne,Krosno,https://przetworstwo-tworzyw.splast.com.pl/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=861df269-4dc4-4fb4-9302-3348bb06bd36,Hall 5b / E289,À vérifier,Logistics / MRO,,,,,Lidar / Laser; Composites,Defense ministries,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",29.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Splast Sp.,"Confirm if Splast Sp. z.o.o. does MRO, sustainment or only spares.",No immediate action,New,,,Medium
SPLENDOR tekstil d.o.o.,Croatie,Zagreb,https://splendor-tekstil.hr/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=2eecfeea-27e3-4e3f-99f3-898789054410,Hall 4 / E31,OEM,C4ISR,Air defense; Naval defense,Logistics equipment,Sub-systems / Components,,Cloud; RF / microwave,,Europe,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",59.9,C,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,Hi — SPLENDOR tekstil d.o.o.,"SPLENDOR tekstil d.o.o. pitches end-to-end C4ISR; they need sub-systems, software components and compliance services.",Keep in watchlist,New,,,Medium
SPRING,France,BAULE,https://www.spring-group.fr/,,,Hall 6 / E295,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
"SRC, INC",États-Unis,NORTH SYRACUSE,http://www.srcinc.com/,https://www.linkedin.com/company/SRCdefense,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=25e6648f-a2af-421d-85bb-b6dcc447baca,Hall 5a / B251,Société de services,Intelligence / ISR,Land defense; Naval defense; Homeland security; UAV / drones; Counter-UAV; Weapons; Electronic warfare; Radar / sensors; Simulation / training; Logistics / MRO; NRBC / CBRN,Vehicles; UAV / drones; Counter-UAV systems; Radars; Software / Platforms; Embedded systems; Weapons; Simulators / Training; Robotics / UGV; NRBC / CBRN; Sensors; Naval systems,Maintenance / MRO; Engineering / consulting; Sub-systems / Components; Certification / testing; Sub-contracting,Maintenance / MRO; Engineering / consulting; Certification / testing; Sub-contracting,RF / microwave; Robotics / autonomy; Simulation,Land forces; Air forces; Navy,United States; United Kingdom; Europe; Asia; Middle East,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Radars; RF / microwave; AI platforms; Electronic components; Cloud / data services; Cybersecurity solutions; Ammunition components; Software; Hardware (display, motion platforms)",75.5,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed SRC, INC builds Vehicles, UAV / drones (+10) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map SRC, INC's integration partners.",Contact sales team and qualify need,New,,,High
SSAB / Armox protection plate,Suède,OXELÖSUND,http://www.ssab.com/en/brands-and-products/armox,https://www.linkedin.com/showcase/76883263/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=3eea0814-9bfb-4c18-99cc-34c9b6b11066,Hall 5a / H310,OEM,Ammunition,Naval defense; Soldier systems; Logistics / MRO,Vehicles; Ammunition; Robotics / UGV; Mechanical parts; Logistics equipment; Soldier equipment,Sub-systems / Components; Finished products; Certification / testing,Certification / testing,Lidar / Laser; Additive manufacturing; Robotics / autonomy; Cloud,Defense ministries,Europe; France; Germany; Asia; United Kingdom; United States; Africa; India,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energetic materials; Packaging; Electronic components; Energy / batteries; Raw materials (steel, aluminium); Industrial subcontracting / machining; Materials; Textile / industrial fabrics; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding",80.0,A,"Matériaux énergétiques, mécanique, packaging, certification.","Hi — I noticed SSAB / Armox protection plate builds Vehicles, Ammunition (+4) for Ammunition.","Ammunition makers buy energetic materials, mechanical parts, packaging and certification services.",Contact sales team and qualify need,New,,,High
ST Connect GmbH,Allemagne,LEVERKUSEN,http://www.st-connect.de/,https://www.linkedin.com/company/st-connect-gmbh/?viewAsMember=true,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=257bdea5-25ab-42b8-a8cc-165c02917418,Hall 5b / C-455-55,À vérifier,Other,,,Sub-systems / Components; Certification / testing,Certification / testing,,,Germany,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",28.1,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed ST Connect GmbH at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
ST ENGINEERING,Singapour,SINGAPORE,http://www.stengg.com/,https://www.linkedin.com/company/st-engineering,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=a194dc2d-f61a-40f1-94d9-dcea3d43a791,Hall 5a / B344,OEM,C4ISR,Land defense; Naval defense; Homeland security; Cybersecurity; UAV / drones; Ammunition; Soldier systems; Optics / optronics; Communications; Radar / sensors; AI / data; Logistics / MRO; Engineering services; Space / satellite,Vehicles; UAV / drones; Sensors; Radars; Software / Platforms; Tactical radios; Ammunition; Robotics / UGV; Cybersecurity solutions; Engines / propulsion; Communications networks; Satellites / Space; Naval systems; Logistics equipment; Optronics / Optics; Electronic components; Mechanical parts,Sub-systems / Components; Maintenance / MRO; Cloud / data services; Certification / testing; Engineering / consulting; Finished products,Maintenance / MRO; Cloud / data services; Certification / testing; Engineering / consulting,Artificial intelligence; Cloud; 5G / wireless; RF / microwave; Composites; Cybersecurity; Simulation; Big data / analytics; Additive manufacturing; Robotics / autonomy; GNSS / GPS,Critical infrastructure; Aerospace primes; Air forces,Europe; Asia; Germany,Acheteur potentiel,Engines / propulsion,Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Electronic components; Cloud / data services; Cybersecurity solutions; AI platforms; RF / microwave; Energetic materials; Packaging; Hardware appliances; Threat intelligence feeds,78.5,A,"Composants, sous-systèmes, software, services pour primes C4ISR.","Hi — I noticed ST ENGINEERING builds Vehicles, UAV / drones (+15) for C4ISR.",C4ISR primes integrate hundreds of components — the sourcing surface is huge. Procurement / supply chain is the entry point.,Contact sales team and qualify need,New,,,High
ST ENGINEERING IDIRECT,Belgique,SINT-NIKLAAS,http://www.idirect.net/,https://www.linkedin.com/company/st-engineering-idirect/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=b39715ab-ba68-4503-88bc-ec93165829a2,Hall 6 / DE144,OEM,Space / satellite,,Satellites / Space,,,,,,Acheteur potentiel,Composite materials,"Sensors; Embedded systems; Launch services; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",45.0,C,Vend des sous-systèmes / composants à un OEM construisant Satellites / Space.,Hi — ST ENGINEERING IDIRECT ships Satellites / Space to defense customers.,ST ENGINEERING IDIRECT builds space hardware — they need certified components and test services.,Keep in watchlist,New,,,Medium
STACEM,France,GRAND CHAMP,http://www.stacem.fr/,,,Hall 6 / D328,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
STAINLESS,France,Dannemarie-sur-Crète,http://www.stainless.eu/,https://fr.linkedin.com/company/stainless,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=96026a6d-d440-42fa-982e-8d26cb3a7d78,Hall 6 / F331,Distributeur,Intelligence / ISR,Naval defense; Armored vehicles; Weapons; Ammunition; Optics / optronics; Radar / sensors; Space / satellite,Energy / batteries; Vehicles; Sensors; Ammunition; Engines / propulsion; Mechanical parts; Optronics / Optics; Weapons; Communications networks; Satellites / Space,Training; Finished products; Sub-systems / Components,Training,Lidar / Laser; RF / microwave; Thermal imaging; Additive manufacturing; Composites,Border / customs; Aerospace primes,France,Acheteur potentiel,"Materials (Li-ion, electrolytes)","Mechanical parts; Engines / propulsion; Composite materials; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Electronic components; Embedded systems; Energetic materials; Packaging; Materials (high temperature alloys); Raw materials (steel, aluminium); Industrial subcontracting / machining; Ammunition components; RF / microwave components; Cybersecurity solutions",69.5,B,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed STAINLESS builds Energy / batteries, Vehicles (+8) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map STAINLESS's integration partners.",Review website and validate opportunity,New,,,High
Standard solutions group AB,Suède,Sundsvall,,,,Hall 6 / J177,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
STAR PACK SA,France,CERGY - POINTOISE CEDEX,https://www.star-pack.fr/,,,Hall 6 / EF177,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
STARBURST SAS,France,PARIS,,,,Hall 6 / F225,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
STARK,Allemagne,BERLIN,http://stark-defence.com/,https://www.linkedin.com/company/stark-defence/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=008ca0f5-c5e5-4618-992d-e4dab9afcad0,Hall 4 / G256,OEM,Intelligence / ISR,Naval defense; C4ISR; UAV / drones; Counter-UAV; Ammunition; Electronic warfare; Radar / sensors; AI / data; Space / satellite,UAV / drones; Counter-UAV systems; Software / Platforms; Ammunition; Robotics / UGV; Logistics equipment; Sensors; Satellites / Space; Radars; Communications networks,Sub-systems / Components; Integration services; Certification / testing,Certification / testing,Artificial intelligence; Lidar / Laser; Robotics / autonomy; GNSS / GPS,Critical infrastructure,Europe; Germany; United Kingdom; NATO,Acheteur potentiel,Energy / batteries,Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Radars; RF / microwave; AI platforms; Cloud / data services; Cybersecurity solutions; Energetic materials; Mechanical parts; Packaging; Electronic components; Materials; Launch services,79.0,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed STARK builds UAV / drones, Counter-UAV systems (+8) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map STARK's integration partners.",Contact sales team and qualify need,New,,,High
STARPLAST,France,LIMOGES - 87,https://vitalo.net/,,,Hall 5b / BC24,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
STARTER,France,SAINT OUEN L'AUMONE,http://www.starterwinches.com/,,,Hall 4 / C136,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
